original,gentle,playful,bold,id,scenario
"Oh, Last call",Last call... but I hope this isn't the last time I see you,Last call! Good thing the night is still young for us,"Last call here, first call at my place?",flirt_0445,learning environment
"Well, Last call",Last call... but I hope this isn't the last time I see you,Last call! Good thing the night is still young for us,"Last call here, first call at my place?",flirt_0446,travel situation
"Um, Last call",Last call... but I hope this isn't the last time I see you,Last call! Good thing the night is still young for us,"Last call here, first call at my place?",flirt_0447,casual environment
"Honestly, Last call",Last call... but I hope this isn't the last time I see you,Last call! Good thing the night is still young for us,"Last call here, first call at my place?",flirt_0448,quiet moment
"Hey, Nice moves",Nice moves on the dance floor... you're incredibly graceful,Nice moves! I'm trying to figure out if you're a professional dancer or just naturally amazing,Nice moves... want to show me some more somewhere private?,flirt_0449,professional context
"So, Nice moves",Nice moves on the dance floor... you're incredibly graceful,Nice moves! I'm trying to figure out if you're a professional dancer or just naturally amazing,Nice moves... want to show me some more somewhere private?,flirt_0450,cultural venue
"Actually, Nice moves",Nice moves on the dance floor... you're incredibly graceful,Nice moves! I'm trying to figure out if you're a professional dancer or just naturally amazing,Nice moves... want to show me some more somewhere private?,flirt_0451,one-on-one
"Oh, Nice moves",Nice moves on the dance floor... you're incredibly graceful,Nice moves! I'm trying to figure out if you're a professional dancer or just naturally amazing,Nice moves... want to show me some more somewhere private?,flirt_0452,night scene
"Well, Nice moves",Nice moves on the dance floor... you're incredibly graceful,Nice moves! I'm trying to figure out if you're a professional dancer or just naturally amazing,Nice moves... want to show me some more somewhere private?,flirt_0453,night scene
"Um, Nice moves",Nice moves on the dance floor... you're incredibly graceful,Nice moves! I'm trying to figure out if you're a professional dancer or just naturally amazing,Nice moves... want to show me some more somewhere private?,flirt_0454,everyday moment
"Honestly, Nice moves",Nice moves on the dance floor... you're incredibly graceful,Nice moves! I'm trying to figure out if you're a professional dancer or just naturally amazing,Nice moves... want to show me some more somewhere private?,flirt_0455,formal setting
"Hey, How do you know the host?",How do you know the host? I need to thank them for inviting you,How do you know the host? I need to become their best friend if they know people like you,Who cares about the host? I'm more interested in knowing you,flirt_0456,casual environment
"So, How do you know the host?",How do you know the host? I need to thank them for inviting you,How do you know the host? I need to become their best friend if they know people like you,Who cares about the host? I'm more interested in knowing you,flirt_0457,cultural venue
"Actually, How do you know the host?",How do you know the host? I need to thank them for inviting you,How do you know the host? I need to become their best friend if they know people like you,Who cares about the host? I'm more interested in knowing you,flirt_0458,intimate setting
"Oh, How do you know the host?",How do you know the host? I need to thank them for inviting you,How do you know the host? I need to become their best friend if they know people like you,Who cares about the host? I'm more interested in knowing you,flirt_0459,cultural venue
"Well, How do you know the host?",How do you know the host? I need to thank them for inviting you,How do you know the host? I need to become their best friend if they know people like you,Who cares about the host? I'm more interested in knowing you,flirt_0460,crowded place
"Um, How do you know the host?",How do you know the host? I need to thank them for inviting you,How do you know the host? I need to become their best friend if they know people like you,Who cares about the host? I'm more interested in knowing you,flirt_0461,intimate setting
"Honestly, How do you know the host?",How do you know the host? I need to thank them for inviting you,How do you know the host? I need to become their best friend if they know people like you,Who cares about the host? I'm more interested in knowing you,flirt_0462,spontaneous meeting
"Hey, You look familiar",You look familiar... maybe from my dreams? Too cheesy? Let me try again...,You look familiar... are you the person who's been stealing all the attention in this room?,You look familiar... probably because I've been staring at you for the last ten minutes,flirt_0463,social event
"So, You look familiar",You look familiar... maybe from my dreams? Too cheesy? Let me try again...,You look familiar... are you the person who's been stealing all the attention in this room?,You look familiar... probably because I've been staring at you for the last ten minutes,flirt_0464,formal setting
"Actually, You look familiar",You look familiar... maybe from my dreams? Too cheesy? Let me try again...,You look familiar... are you the person who's been stealing all the attention in this room?,You look familiar... probably because I've been staring at you for the last ten minutes,flirt_0465,special occasion
"Oh, You look familiar",You look familiar... maybe from my dreams? Too cheesy? Let me try again...,You look familiar... are you the person who's been stealing all the attention in this room?,You look familiar... probably because I've been staring at you for the last ten minutes,flirt_0466,special occasion
"Well, You look familiar",You look familiar... maybe from my dreams? Too cheesy? Let me try again...,You look familiar... are you the person who's been stealing all the attention in this room?,You look familiar... probably because I've been staring at you for the last ten minutes,flirt_0467,spontaneous meeting
